Pdb	Group1	Group2	IntraclashesGroup1	IntraclashesGroup2	Interaction_Energy	StabilityGroup1	StabilityGroup2
./homologymodel_4po2AC_hsc70_Repair_1_0_100_0.pdb	A	C	5.7267	0	-5.30419	-22.2356	3.85563
./homologymodel_4po2AC_hsc70_Repair_1_0_100_1.pdb	A	C	5.72639	0	-5.2736	-22.3409	3.85575
./homologymodel_4po2AC_hsc70_Repair_1_0_100_2.pdb	A	C	5.7267	0	-5.30415	-22.2356	3.85564
./homologymodel_4po2AC_hsc70_Repair_1_0_10_0.pdb	A	C	5.74206	0.0345215	-5.9834	-22.2434	3.68162
./homologymodel_4po2AC_hsc70_Repair_1_0_101_0.pdb	A	C	5.7267	0	-5.2048	-22.2356	3.57981
./homologymodel_4po2AC_hsc70_Repair_1_0_101_1.pdb	A	C	5.7267	0	-5.2048	-22.2356	3.57981
./homologymodel_4po2AC_hsc70_Repair_1_0_101_2.pdb	A	C	5.7267	0	-5.2048	-22.2356	3.57981
./homologymodel_4po2AC_hsc70_Repair_1_0_10_1.pdb	A	C	5.71615	0.0308716	-6.02725	-22.5086	3.67815
./homologymodel_4po2AC_hsc70_Repair_1_0_102_0.pdb	A	C	5.7267	0.0658116	-5.57594	-22.2356	3.61784
./homologymodel_4po2AC_hsc70_Repair_1_0_102_1.pdb	A	C	5.72917	0.117201	-5.45311	-22.2349	3.65196
./homologymodel_4po2AC_hsc70_Repair_1_0_102_2.pdb	A	C	5.7267	0.080523	-5.45447	-22.2356	3.72148
./homologymodel_4po2AC_hsc70_Repair_1_0_10_2.pdb	A	C	5.72927	0.0341279	-6.02364	-22.3417	3.68116
./homologymodel_4po2AC_hsc70_Repair_1_0_103_0.pdb	A	C	5.73108	0.00735284	-4.75111	-22.2337	3.62199
./homologymodel_4po2AC_hsc70_Repair_1_0_103_1.pdb	A	C	5.72922	0.002799	-4.7626	-22.235	3.61976
./homologymodel_4po2AC_hsc70_Repair_1_0_103_2.pdb	A	C	5.7267	0.00645949	-4.76559	-22.2356	3.62424
./homologymodel_4po2AC_hsc70_Repair_1_0_104_0.pdb	A	C	5.7267	0.00560896	-4.47642	-22.2356	3.58512
./homologymodel_4po2AC_hsc70_Repair_1_0_104_1.pdb	A	C	5.72857	0.00482454	-4.4752	-22.2361	3.58426
./homologymodel_4po2AC_hsc70_Repair_1_0_104_2.pdb	A	C	5.72524	0.0120153	-4.44291	-22.2462	3.59174
./homologymodel_4po2AC_hsc70_Repair_1_0_105_0.pdb	A	C	5.7267	0	-5.11353	-22.2356	3.57942
./homologymodel_4po2AC_hsc70_Repair_1_0_105_1.pdb	A	C	5.72764	0	-5.11335	-22.2361	3.57942
./homologymodel_4po2AC_hsc70_Repair_1_0_105_2.pdb	A	C	5.7283	0	-5.11265	-22.236	3.57934
./homologymodel_4po2AC_hsc70_Repair_1_0_106_0.pdb	A	C	5.7267	0.0398671	-4.72998	-22.2356	3.71275
